Meat(kgs),Cereals(kgs),Rice(kgs),Maize/F(kgs),Wheat/F(kgs),Eggs(kgs),Vegetables(kgs),Milk(litres),Fruits(kgs),B/F,Lunch,supper,Total Customers,Event Type,month,Food cooked,Food Consumed,wastage amount
0,0,0,0,0,0,0,0,0,0,0,0,0,Regular,January,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,Regular,January,0,0,0
1.5,20,35,25,25,5,105,5,0,33,32,25,90,Regular,January,221.5,90,131.5
1.5,20,35,25,25,5,105,5,0,38,27,26,91,Regular,January,221.5,91,130.5
1.5,20,35,25,25,5,105,5,0,29,28,23,80,Regular,January,221.5,80,141.5
2.5,30,35,25,35,5,105,10,0,33,57,42,132,Regular,January,247.5,132,115.5
3,40,65,40,35,8,105,10,0,25,86,65,176,Regular,January,306,176,130
3,40,65,60,35,8,135,10,0,26,73,41,140,Regular,January,356,140,216
3,40,65,60,35,8,135,10,0,23,66,54,143,Regular,January,356,143,213
3,40,65,60,35,8,135,10,0,32,75,82,189,Regular,January,356,189,167
3,40,65,60,35,8,135,10,0,35,72,97,204,Regular,January,356,204,152
3,40,65,60,35,8,195,10,0,63,116,154,333,Regular,January,416,333,83
3,40,65,60,35,8,195,10,0,74,112,127,313,Regular,January,416,313,103
3,40,65,60,35,8,195,10,0,58,161,127,346,Regular,January,416,346,70
3,40,65,60,35,8,195,10,0,55,168,144,367,Regular,January,416,367,49
13,90,110,60,80,20,300,30,26,80,416,188,684,special,January,729,684,45
13,80,100,60,70,15,250,30,30,93,402,126,621,special,January,648,621,27
3,40,65,60,35,8,195,10,0,31,128,226,385,Regular,January,416,385,31
3,40,65,60,35,8,195,10,0,46,120,191,357,Regular,January,416,357,59
15,80,89,60,50,15,230,30,26,31,412,123,566,special,January,595,566,29
15,76,95,60,55,18,230,30,25,58,404,109,571,special,January,604,571,33
3,40,65,60,35,8,195,10,0,62,157,154,373,Regular,January,416,373,43
3,40,65,60,35,8,195,10,0,64,165,137,366,Regular,January,416,366,50
3,40,65,60,35,8,195,10,0,49,176,111,336,Regular,January,416,336,80
3,40,65,60,35,8,195,10,0,59,158,138,355,Regular,January,416,355,61
3,40,65,60,35,8,195,10,0,43,218,113,374,Regular,January,416,374,42
3,40,65,60,35,8,195,10,0,61,205,106,372,Regular,January,416,372,44
3,40,65,60,35,8,195,10,0,53,156,169,378,Regular,January,416,378,38
3,40,65,60,35,8,195,10,0,47,199,141,387,Regular,January,416,387,29
3,40,65,60,35,8,195,10,0,23,244,107,374,Regular,January,416,374,42
3,40,65,60,35,8,195,10,0,81,159,128,368,Regular,February,416,368,48
3,40,65,60,35,8,195,10,0,32,218,129,379,Regular,February,416,379,37
3,40,65,60,35,8,195,10,0,66,172,134,372,Regular,February,416,372,44
3,40,65,60,35,8,195,10,0,47,183,129,359,Regular,February,416,359,57
3,40,65,60,35,8,195,10,0,48,42,209,299,Regular,February,416,299,117
3,40,65,60,35,8,195,10,0,51,158,155,364,Regular,February,416,364,52
3,40,65,60,35,8,195,10,0,40,61,196,297,Regular,February,416,297,119
